station,period,year_start,year_end,month,precip_monthly_mean,precip_monthly_std,t_med_mean,t_min_mean,t_max_mean,spei3_mean
Cornesti,full,1961,2020,11,42.5,32.0,3.81,-1.17,8.82,-0.082
Cornesti,full,1961,2020,12,29.8,19.6,-1.17,-5.07,2.97,0.614
Cornesti,p1,1961,1990,1,34.9,26.3,-3.09,-7.16,0.83,1.117
Cornesti,p1,1961,1990,2,29.3,20.7,-1.38,-5.42,2.56,1.173
Cornesti,p1,1961,1990,3,26.7,20.8,3.83,-1.22,8.76,0.977
Cornesti,p1,1961,1990,4,40.6,23.9,11.17,5.29,16.99,0.476
Cornesti,p1,1961,1990,5,61.0,43.9,15.61,9.77,21.57,0.023
Cornesti,p1,1961,1990,6,60.5,39.3,19.53,13.6,25.6,-0.424
Cornesti,p1,1961,1990,7,77.3,61.5,21.75,15.68,27.76,-0.586
Cornesti,p1,1961,1990,8,47.3,28.9,21.09,15.04,27.09,-0.997
Cornesti,p1,1961,1990,9,35.7,21.0,15.96,9.93,21.92,-1.066
Cornesti,p1,1961,1990,10,32.9,15.4,10.23,5.28,15.39,-0.935
Cornesti,p1,1961,1990,11,40.3,33.5,3.91,-1.13,8.89,-0.146
Cornesti,p1,1961,1990,12,33.2,21.6,-1.01,-4.94,3.22,0.609
Cornesti,p2,1991,2020,1,40.3,27.1,-3.38,-7.31,0.66,1.193
Cornesti,p2,1991,2020,2,27.7,19.1,-1.0,-5.03,2.9,1.201
Cornesti,p2,1991,2020,3,28.4,19.2,4.4,-0.65,9.32,1.006
Cornesti,p2,1991,2020,4,36.8,27.2,10.84,4.85,16.69,0.429
Cornesti,p2,1991,2020,5,56.3,49.5,15.87,9.8,21.85,-0.07
Cornesti,p2,1991,2020,6,61.0,36.7,19.81,13.88,25.79,-0.515
Cornesti,p2,1991,2020,7,56.0,29.9,22.02,15.98,27.98,-0.882
Cornesti,p2,1991,2020,8,53.8,48.2,20.93,15.07,26.92,-1.16
Cornesti,p2,1991,2020,9,42.4,21.7,16.13,10.19,21.98,-1.162
Cornesti,p2,1991,2020,10,33.3,18.6,9.99,5.02,15.0,-0.787
Cornesti,p2,1991,2020,11,44.7,30.9,3.72,-1.21,8.74,-0.018
Cornesti,p2,1991,2020,12,26.5,17.0,-1.33,-5.2,2.72,0.62
Dubasari,full,1961,2020,1,35.9,24.0,-3.17,-7.21,0.79,1.076
Dubasari,full,1961,2020,2,33.8,22.3,-1.08,-5.08,2.98,1.211
Dubasari,full,1961,2020,3,35.0,23.8,3.68,-1.26,8.73,1.014
Dubasari,full,1961,2020,4,40.1,30.3,11.24,5.23,17.07,0.496
Dubasari,full,1961,2020,5,54.5,37.3,15.96,10.09,22.0,-0.083
Dubasari,full,1961,2020,6,71.8,47.3,20.04,13.99,26.01,-0.532
Dubasari,full,1961,2020,7,83.2,52.3,22.37,16.33,28.3,-0.657
Dubasari,full,1961,2020,8,59.5,38.7,21.03,15.14,27.02,-0.86
Dubasari,full,1961,2020,9,37.0,24.4,16.11,10.13,22.14,-1.011
Dubasari,full,1961,2020,10,32.9,22.3,10.09,5.09,15.01,-0.901
Dubasari,full,1961,2020,11,41.6,30.2,4.46,-0.51,9.31,-0.252
Dubasari,full,1961,2020,12,37.2,24.5,-0.68,-4.79,3.28,0.536
Dubasari,p1,1961,1990,1,36.8,19.1,-3.48,-7.55,0.51,1.042
Dubasari,p1,1961,1990,2,37.1,19.4,-1.11,-5.15,2.94,1.274
Dubasari,p1,1961,1990,3,34.3,18.5,3.81,-1.13,8.79,1.044
Dubasari,p1,1961,1990,4,36.8,24.3,11.56,5.46,17.39,0.466
Dubasari,p1,1961,1990,5,53.1,34.8,15.95,10.13,22.01,-0.158
Dubasari,p1,1961,1990,6,70.3,52.4,19.79,13.82,25.64,-0.597
Dubasari,p1,1961,1990,7,81.4,51.9,22.21,16.23,28.14,-0.684
Dubasari,p1,1961,1990,8,61.5,45.4,21.31,15.48,27.31,-0.867
Dubasari,p1,1961,1990,9,35.9,21.6,16.39,10.38,22.42,-1.042
Dubasari,p1,1961,1990,10,31.4,25.0,10.36,5.32,15.22,-0.949
Dubasari,p1,1961,1990,11,34.7,23.0,4.52,-0.53,9.37,-0.378
Dubasari,p1,1961,1990,12,38.2,25.7,-0.76,-4.93,3.18,0.449
Dubasari,p2,1991,2020,1,35.0,28.4,-2.87,-6.86,1.08,1.109
Dubasari,p2,1991,2020,2,30.5,24.8,-1.05,-5.01,3.01,1.151
Dubasari,p2,1991,2020,3,35.7,28.5,3.55,-1.4,8.67,0.984
Dubasari,p2,1991,2020,4,43.5,35.4,10.93,5.0,16.75,0.526
Dubasari,p2,1991,2020,5,55.9,40.2,15.97,10.05,21.98,-0.008
Dubasari,p2,1991,2020,6,73.3,42.4,20.3,14.16,26.38,-0.466
Dubasari,p2,1991,2020,7,85.1,53.5,22.53,16.42,28.46,-0.63
Dubasari,p2,1991,2020,8,57.6,31.1,20.75,14.81,26.73,-0.853
Dubasari,p2,1991,2020,9,38.2,27.2,15.83,9.89,21.86,-0.981
Dubasari,p2,1991,2020,10,34.4,19.5,9.82,4.86,14.8,-0.853
Dubasari,p2,1991,2020,11,48.6,34.9,4.41,-0.48,9.24,-0.126
Dubasari,p2,1991,2020,12,36.2,23.7,-0.61,-4.65,3.38,0.624
Falesti,full,1961,2020,1,38.1,25.6,-2.97,-6.99,1.04,1.124
Falesti,full,1961,2020,2,30.3,20.0,-1.37,-5.32,2.6,1.19
Falesti,full,1961,2020,3,32.3,23.1,3.47,-1.5,8.47,0.973
Falesti,full,1961,2020,4,40.7,27.8,11.03,5.06,17.03,0.461
Falesti,full,1961,2020,5,52.2,36.2,15.84,9.74,21.9,-0.086
Falesti,full,1961,2020,6,66.5,41.5,20.3,14.21,26.27,-0.572
Falesti,full,1961,2020,7,78.3,47.9,21.82,15.87,27.83,-0.731
Falesti,full,1961,2020,8,53.9,31.1,20.68,14.7,26.73,-0.95
Falesti,full,1961,2020,9,42.1,32.2,15.95,9.98,21.89,-0.975
Falesti,full,1961,2020,10,32.4,22.5,9.9,4.88,14.86,-0.842
Falesti,full,1961,2020,11,42.7,27.3,4.04,-1.05,9.01,-0.14
Falesti,full,1961,2020,12,38.0,29.1,-1.15,-5.16,2.91,0.588
Falesti,p1,1961,1990,1,44.6,26.6,-2.92,-6.98,1.08,1.192
Falesti,p1,1961,1990,2,29.9,20.3,-1.48,-5.44,2.49,1.231
Falesti,p1,1961,1990,3,27.9,22.2,3.25,-1.68,8.21,0.999
Falesti,p1,1961,1990,4,35.4,25.8,10.73,4.72,16.74,0.388
Falesti,p1,1961,1990,5,49.9,36.2,15.71,9.57,21.8,-0.172
Falesti,p1,1961,1990,6,63.8,35.0,20.16,14.08,26.16,-0.643
Falesti,p1,1961,1990,7,76.8,42.0,22.25,16.28,28.21,-0.801
Falesti,p1,1961,1990,8,56.2,34.2,20.95,14.84,26.9,-0.995
Falesti,p1,1961,1990,9,44.7,37.9,16.13,10.2,22.08,-0.985
Falesti,p1,1961,1990,10,35.4,26.4,9.92,4.91,14.82,-0.788
Falesti,p1,1961,1990,11,45.0,33.0,4.16,-0.99,9.11,-0.079
Falesti,p1,1961,1990,12,34.7,36.3,-1.02,-5.02,3.1,0.599
Falesti,p2,1991,2020,1,31.7,23.2,-3.01,-7.01,0.99,1.058
Falesti,p2,1991,2020,2,30.8,20.1,-1.25,-5.21,2.71,1.149
Falesti,p2,1991,2020,3,36.7,23.4,3.68,-1.32,8.73,0.948
Falesti,p2,1991,2020,4,45.9,29.1,11.34,5.39,17.31,0.534
Falesti,p2,1991,2020,5,54.5,36.6,15.98,9.91,22.0,-0.001
Falesti,p2,1991,2020,6,69.2,47.6,20.44,14.35,26.38,-0.501
Falesti,p2,1991,2020,7,79.7,53.9,21.38,15.45,27.44,-0.661
Falesti,p2,1991,2020,8,51.6,28.0,20.41,14.56,26.56,-0.905
Falesti,p2,1991,2020,9,39.5,25.6,15.76,9.76,21.71,-0.966
Falesti,p2,1991,2020,10,29.4,17.9,9.87,4.86,14.89,-0.895
Falesti,p2,1991,2020,11,40.4,20.5,3.93,-1.12,8.91,-0.201
Falesti,p2,1991,2020,12,41.3,19.6,-1.29,-5.29,2.73,0.576
Leova,full,1961,2020,1,35.9,23.0,-1.38,-5.42,2.65,1.211
Leova,full,1961,2020,2,22.2,14.6,0.59,-3.45,4.62,1.335
Leova,full,1961,2020,3,28.2,20.2,5.45,0.43,10.48,1.094
Leova,full,1961,2020,4,35.4,24.1,12.11,6.1,18.12,0.511
Leova,full,1961,2020,5,47.5,30.5,17.44,11.38,23.46,-0.04
Leova,full,1961,2020,6,63.6,45.9,21.8,15.83,27.64,-0.486
Leova,full,1961,2020,7,53.4,42.4,23.94,17.85,29.87,-0.881
Leova,full,1961,2020,8,50.8,33.0,22.62,16.52,28.54,-1.099
Leova,full,1961,2020,9,37.2,23.5,17.6,11.5,23.59,-1.151
Leova,full,1961,2020,10,26.7,15.6,11.77,6.68,16.69,-0.823
Leova,full,1961,2020,11,32.8,26.0,5.74,0.7,10.66,-0.183
Leova,full,1961,2020,12,30.4,19.0,0.53,-3.37,4.41,0.554
Leova,p1,1961,1990,1,34.8,24.0,-1.38,-5.53,2.63,1.207
Leova,p1,1961,1990,2,21.1,12.9,0.39,-3.73,4.49,1.323
Leova,p1,1961,1990,3,25.3,19.6,5.36,0.33,10.43,1.057
Leova,p1,1961,1990,4,36.8,28.5,12.07,6.04,18.12,0.499
Leova,p1,1961,1990,5,51.6,35.8,17.22,11.12,23.27,0.002
Leova,p1,1961,1990,6,68.4,48.3,21.8,15.86,27.63,-0.375
Leova,p1,1961,1990,7,56.4,47.4,24.08,17.98,30.0,-0.763
Leova,p1,1961,1990,8,56.1,36.8,22.63,16.53,28.54,-0.981
Leova,p1,1961,1990,9,41.1,24.8,17.44,11.39,23.43,-1.034
Leova,p1,1961,1990,10,26.6,16.9,11.77,6.76,16.63,-0.729
Leova,p1,1961,1990,11,33.1,33.4,5.53,0.57,10.46,-0.127
Leova,p1,1961,1990,12,30.6,20.5,0.45,-3.4,4.29,0.567
Leova,p2,1991,2020,1,37.1,22.3,-1.38,-5.31,2.67,1.215
Leova,p2,1991,2020,2,23.4,16.3,0.79,-3.17,4.75,1.347
Leova,p2,1991,2020,3,31.2,20.7,5.55,0.52,10.52,1.132
Leova,p2,1991,2020,4,34.0,19.0,12.14,6.15,18.11,0.524
Leova,p2,1991,2020,5,43.3,24.2,17.66,11.65,23.65,-0.081
Leova,p2,1991,2020,6,58.9,43.7,21.8,15.8,27.65,-0.597
Leova,p2,1991,2020,7,50.4,37.2,23.79,17.71,29.74,-0.999
Leova,p2,1991,2020,8,45.5,28.4,22.62,16.52,28.53,-1.217
Leova,p2,1991,2020,9,33.3,21.9,17.76,11.61,23.76,-1.269
Leova,p2,1991,2020,10,26.9,14.4,11.76,6.6,16.76,-0.916
Leova,p2,1991,2020,11,32.6,16.3,5.96,0.84,10.87,-0.239
Leova,p2,1991,2020,12,30.3,17.7,0.61,-3.34,4.53,0.541
Rabnita,full,1961,2020,1,30.3,22.2,-2.68,-6.76,1.22,1.104
Rabnita,full,1961,2020,2,33.1,21.2,-1.11,-5.11,2.92,1.224
Rabnita,full,1961,2020,3,33.3,24.2,3.98,-1.11,9.09,1.016
Rabnita,full,1961,2020,4,36.5,25.4,11.17,5.08,17.1,0.511
Rabnita,full,1961,2020,5,45.0,30.3,16.03,10.09,22.05,-0.174
Rabnita,full,1961,2020,6,78.0,47.1,20.17,14.13,26.11,-0.544
Rabnita,full,1961,2020,7,60.8,31.8,21.9,15.86,27.94,-0.844
Rabnita,full,1961,2020,8,51.1,36.9,20.59,14.63,26.5,-1.014
Rabnita,full,1961,2020,9,43.5,25.6,15.76,9.75,21.89,-1.142
Rabnita,full,1961,2020,10,37.9,30.4,9.82,4.94,14.81,-0.759
Rabnita,full,1961,2020,11,39.6,28.0,3.8,-1.14,8.85,-0.02
Rabnita,full,1961,2020,12,35.5,24.8,-0.79,-4.74,3.23,0.681
Rabnita,p1,1961,1990,1,29.7,27.2,-3.16,-7.11,0.79,1.07
Rabnita,p1,1961,1990,2,36.0,21.1,-1.4,-5.36,2.62,1.258
Rabnita,p1,1961,1990,3,31.7,18.5,3.9,-1.09,9.08,1.035
Rabnita,p1,1961,1990,4,33.5,19.3,10.93,4.85,16.86,0.516
Rabnita,p1,1961,1990,5,48.5,31.2,16.22,10.32,22.3,-0.18
Rabnita,p1,1961,1990,6,83.3,54.7,20.24,14.22,26.19,-0.487
Rabnita,p1,1961,1990,7,58.5,33.1,21.89,15.78,27.87,-0.79
Rabnita,p1,1961,1990,8,53.0,31.5,20.56,14.63,26.55,-0.967
Rabnita,p1,1961,1990,9,42.2,21.6,15.35,9.29,21.54,-1.136
Rabnita,p1,1961,1990,10,36.1,27.2,9.61,4.75,14.77,-0.739
Rabnita,p1,1961,1990,11,36.6,20.3,3.99,-0.98,9.08,-0.06
Rabnita,p1,1961,1990,12,35.2,23.2,-0.98,-4.88,2.99,0.635
Rabnita,p2,1991,2020,1,31.0,16.3,-2.19,-6.42,1.65,1.137
Rabnita,p2,1991,2020,2,30.3,21.3,-0.81,-4.86,3.22,1.191
Rabnita,p2,1991,2020,3,35.0,29.0,4.06,-1.12,9.11,0.998
Rabnita,p2,1991,2020,4,39.5,30.4,11.41,5.32,17.33,0.506
Rabnita,p2,1991,2020,5,41.5,29.4,15.84,9.86,21.8,-0.169
Rabnita,p2,1991,2020,6,72.8,38.3,20.09,14.05,26.03,-0.602
Rabnita,p2,1991,2020,7,63.0,30.8,21.91,15.94,28.01,-0.898
Rabnita,p2,1991,2020,8,49.3,42.1,20.61,14.63,26.45,-1.061
Rabnita,p2,1991,2020,9,44.7,29.3,16.18,10.21,22.24,-1.148
Rabnita,p2,1991,2020,10,39.8,33.7,10.02,5.13,14.85,-0.779
Rabnita,p2,1991,2020,11,42.6,34.2,3.62,-1.3,8.63,0.019
Rabnita,p2,1991,2020,12,35.8,26.7,-0.61,-4.59,3.47,0.728
Soroca,full,1961,2020,1,31.8,20.4,-2.9,-6.88,1.15,1.076
Soroca,full,1961,2020,2,31.6,17.7,-1.09,-5.09,2.92,1.229
Soroca,full,1961,2020,3,36.1,23.9,3.86,-1.15,8.91,0.996
Soroca,full,1961,2020,4,40.8,23.0,10.69,4.7,16.72,0.554
Soroca,full,1961,2020,5,58.1,38.3,15.9,9.89,21.92,0.036
Soroca,full,1961,2020,6,84.0,53.5,19.92,13.91,25.99,-0.287
Soroca,full,1961,2020,7,57.9,33.7,22.13,16.03,28.24,-0.686
Soroca,full,1961,2020,8,50.4,35.6,21.06,14.99,27.15,-1.02
Soroca,full,1961,2020,9,36.2,23.2,15.96,9.96,21.99,-1.299
Soroca,full,1961,2020,10,33.3,25.1,9.72,4.61,14.64,-0.925
Soroca,full,1961,2020,11,34.8,25.4,4.08,-0.95,9.16,-0.234
Soroca,full,1961,2020,12,41.1,29.2,-0.86,-4.84,3.12,0.599
Soroca,p1,1961,1990,1,28.7,14.1,-2.49,-6.52,1.55,0.933
Soroca,p1,1961,1990,2,31.6,17.5,-0.96,-4.93,3.08,1.142
Soroca,p1,1961,1990,3,36.9,24.4,3.71,-1.22,8.79,0.981
Soroca,p1,1961,1990,4,38.7,23.9,10.36,4.33,16.5,0.565
Soroca,p1,1961,1990,5,62.0,38.8,16.01,9.9,22.05,0.082
Soroca,p1,1961,1990,6,75.7,52.3,19.75,13.74,25.89,-0.332
Soroca,p1,1961,1990,7,64.0,32.3,22.32,16.22,28.44,-0.675
Soroca,p1,1961,1990,8,45.1,37.8,20.79,14.74,26.85,-1.081
Soroca,p1,1961,1990,9,40.4,25.8,15.92,9.88,22.05,-1.242
Soroca,p1,1961,1990,10,30.8,24.1,9.53,4.51,14.37,-0.936
Soroca,p1,1961,1990,11,31.5,25.1,4.35,-0.64,9.48,-0.253
Soroca,p1,1961,1990,12,36.9,17.9,-0.86,-4.86,3.1,0.496
Soroca,p2,1991,2020,1,35.0,25.0,-3.32,-7.23,0.75,1.213
Soroca,p2,1991,2020,2,31.6,18.1,-1.22,-5.24,2.77,1.313
Soroca,p2,1991,2020,3,35.3,23.8,4.01,-1.08,9.02,1.012
Soroca,p2,1991,2020,4,42.8,22.3,11.02,5.07,16.93,0.543
Soroca,p2,1991,2020,5,54.2,38.1,15.8,9.88,21.79,-0.009
Soroca,p2,1991,2020,6,92.3,54.2,20.08,14.09,26.09,-0.242
Soroca,p2,1991,2020,7,51.7,34.5,21.93,15.84,28.04,-0.697
Soroca,p2,1991,2020,8,55.7,33.0,21.34,15.24,27.45,-0.958
Soroca,p2,1991,2020,9,32.0,20.0,16.0,10.04,21.92,-1.356
Soroca,p2,1991,2020,10,35.9,26.2,9.91,4.7,14.91,-0.914
Soroca,p2,1991,2020,11,38.0,25.8,3.81,-1.26,8.83,-0.216
Soroca,p2,1991,2020,12,45.2,37.2,-0.87,-4.82,3.15,0.701
Tiraspol,full,1961,2020,1,33.6,21.7,-1.61,-5.6,2.44,1.119
Tiraspol,full,1961,2020,2,28.7,20.8,0.65,-3.34,4.67,1.233
Tiraspol,full,1961,2020,3,30.4,17.1,5.31,0.31,10.4,1.037
Tiraspol,full,1961,2020,4,34.3,25.0,12.19,6.24,18.11,0.464
Tiraspol,full,1961,2020,5,49.2,36.3,17.26,11.32,23.3,-0.119
Tiraspol,full,1961,2020,6,66.0,42.4,21.72,15.66,27.59,-0.566
Tiraspol,full,1961,2020,7,57.1,41.7,23.69,17.68,29.65,-0.901
Tiraspol,full,1961,2020,8,60.4,47.8,22.3,16.3,28.38,-1.036
Tiraspol,full,1961,2020,9,46.4,39.6,17.28,11.41,23.24,-1.01
Tiraspol,full,1961,2020,10,28.9,19.5,11.13,6.18,16.2,-0.677
Tiraspol,full,1961,2020,11,38.1,26.6,5.16,0.25,10.22,-0.066
Tiraspol,full,1961,2020,12,29.0,19.8,0.19,-3.71,4.22,0.56
Tiraspol,p1,1961,1990,1,33.6,22.6,-1.79,-5.69,2.28,1.15
Tiraspol,p1,1961,1990,2,29.3,19.2,0.76,-3.23,4.76,1.222
Tiraspol,p1,1961,1990,3,30.3,18.2,5.22,0.2,10.24,1.049
Tiraspol,p1,1961,1990,4,36.3,25.7,11.94,5.95,17.8,0.503
Tiraspol,p1,1961,1990,5,56.8,44.7,17.2,11.34,23.27,-0.009
Tiraspol,p1,1961,1990,6,64.4,38.1,21.47,15.38,27.35,-0.463
Tiraspol,p1,1961,1990,7,50.6,33.2,23.47,17.34,29.45,-0.881
Tiraspol,p1,1961,1990,8,58.8,43.9,22.1,16.11,28.26,-1.097
Tiraspol,p1,1961,1990,9,47.7,34.7,17.19,11.37,23.16,-1.051
Tiraspol,p1,1961,1990,10,28.3,19.2,11.2,6.28,16.29,-0.676
Tiraspol,p1,1961,1990,11,41.0,30.0,5.08,0.17,10.24,-0.027
Tiraspol,p1,1961,1990,12,27.3,21.7,-0.09,-3.99,4.03,0.569
Tiraspol,p2,1991,2020,1,33.5,21.1,-1.44,-5.51,2.6,1.089
Tiraspol,p2,1991,2020,2,28.1,22.6,0.55,-3.46,4.58,1.243
Tiraspol,p2,1991,2020,3,30.5,16.2,5.4,0.42,10.57,1.026
Tiraspol,p2,1991,2020,4,32.3,24.5,12.43,6.53,18.42,0.426
Tiraspol,p2,1991,2020,5,41.7,23.8,17.31,11.29,23.33,-0.228
Tiraspol,p2,1991,2020,6,67.6,46.9,21.98,15.94,27.83,-0.669
Tiraspol,p2,1991,2020,7,63.6,48.6,23.92,18.02,29.85,-0.92
Tiraspol,p2,1991,2020,8,62.0,52.1,22.5,16.49,28.49,-0.974
Tiraspol,p2,1991,2020,9,45.1,44.4,17.37,11.46,23.32,-0.969
Tiraspol,p2,1991,2020,10,29.6,20.0,11.05,6.09,16.11,-0.677
Tiraspol,p2,1991,2020,11,35.3,22.9,5.25,0.33,10.2,-0.105
Tiraspol,p2,1991,2020,12,30.7,17.9,0.48,-3.43,4.41,0.55
